year,1,2,3,4,5,6,7,8,9,10,11,12
2547,0.99,0.95,0.96,1.04,1.13,1.18,1.21,1.21,1.17,1.11,1.19,1.30
2548,1.46,1.52,1.59,1.61,1.68,1.68,1.65,1.55,1.45,1.42,1.57,1.62
2549,1.43,1.42,1.32,1.27,1.19,1.17,1.12,1.07,1.06,1.06,1.16,1.19
2550,1.18,1.21,1.28,1.34,1.46,1.59,1.69,1.75,1.85,1.86,1.81,1.90
2551,2.06,2.20,2.33,2.33,2.19,1.98,1.96,1.87,1.61,1.46,1.41,1.38
2552,1.21,1.19,1.17,1.22,1.30,1.36,1.45,1.39,1.42,1.52,1.75,1.94
2553,1.98,1.95,2.31,2.60,2.71,2.95,3.33,3.38,3.11,2.98,3.13,3.22
2554,3.14,3.26,3.28,3.18,2.95,2.70,2.58,2.40,2.24,2.26,2.73,2.64
2555,2.37,2.30,2.30,2.32,2.36,2.52,2.42,2.40,2.40,2.42,2.48,2.28
2556,2.17,2.14,2.16,2.48,2.51,2.52,2.52,2.51,2.47,2.37,2.38,2.27
2557,2.13,2.25,2.35,2.38,2.29,2.25,2.15,2.16,2.27,2.34,2.45,2.37
2558,2.26,2.24,2.24,2.30,2.39,2.38,2.38,2.46,2.48,2.45,2.35,2.24
2559,2.10,2.02,2.06,2.18,2.17,2.07,2.02,1.89,1.64,1.58,1.72,1.74
2560,1.69,1.68,1.68,1.67,1.62,1.65,1.68,1.68,1.81,1.89,2.02,2.14
2561,2.24,2.40,2.72,2.94,3.04,2.92,2.85,2.85,2.85,2.88,2.85,2.70
2562,2.53,2.42,2.40,2.39,2.29,2.20,2.20,2.20,2.20,2.24,2.29,2.26
2563,2.25,2.24,2.21,2.17,2.11,2.10,2.11,2.15,2.15,2.13,2.15,2.23
2564,2.16,2.22,2.25,2.38,2.40,2.40,2.40,2.44,2.55,2.57,2.64,2.53
2565,2.53,2.54,2.67,2.86,3.03,3.10,3.15,3.15,3.13,3.10,3.08,3.04
2566,3.10,3.25,3.42,3.59,3.63,3.46,3.30,3.31,3.40,3.45,3.63,3.67
2567,3.65,3.65,3.57,3.24,3.19,3.09,3.06,2.95,2.86,2.65,2.60,2.32
