year,1_low,1_high,2_low,2_high,3_low,3_high,4_low,4_high,5_low,5_high,6_low,6_high,7_low,7_high,8_low,8_high,9_low,9_high,10_low,10_high,11_low,11_high,12_low,12_high
2547,0.92,1.04,0.88,1.04,0.88,1.02,0.98,1.13,1.04,1.25,1.10,1.25,1.15,1.24,1.15,1.25,1.14,1.25,1.08,1.18,1.08,1.30,1.24,1.40
2548,1.32,1.60,1.45,1.60,1.45,1.65,1.58,1.65,1.60,1.76,1.60,1.76,1.52,1.76,1.55,1.55,1.45,1.45,1.42,1.42,1.57,1.57,1.62,1.62
2549,1.38,1.47,1.36,1.47,1.20,1.42,1.15,1.37,1.14,1.29,1.14,1.22,1.06,1.19,1.01,1.10,1.01,1.10,1.00,1.11,1.02,1.27,1.10,1.29
2550,1.10,1.26,1.14,1.30,1.18,1.35,1.18,1.45,1.38,1.55,1.46,1.75,1.60,1.80,1.65,1.85,1.78,1.95,1.75,1.97,1.72,1.92,1.78,2.00
2551,1.88,2.30,1.98,2.30,2.20,2.50,2.20,2.48,2.05,2.28,1.85,2.09,1.85,2.05,1.75,2.01,1.40,1.80,1.33,1.55,1.33,1.49,1.23,1.55
2552,1.13,1.30,1.11,1.30,1.10,1.25,1.10,1.35,1.15,1.40,1.25,1.42,1.32,1.55,1.30,1.45,1.37,1.50,1.40,1.60,1.49,2.00,1.83,2.09
2553,1.84,2.10,1.78,2.10,1.90,2.65,2.40,2.79,2.60,2.85,2.65,3.30,2.95,3.80,3.05,3.70,2.80,3.65,2.80,3.10,2.70,3.55,3.05,3.55
2554,3.05,3.35,2.95,3.50,3.15,3.45,3.00,3.35,2.65,3.15,2.50,2.85,2.45,2.70,2.20,2.60,2.15,2.30,2.10,2.50,2.25,3.00,2.30,3.00
2555,2.20,2.55,2.20,2.40,2.20,2.40,2.20,2.45,2.25,2.50,2.35,2.65,2.30,2.55,2.30,2.50,2.35,2.45,2.35,2.50,2.35,2.65,2.10,2.55
2556,2.10,2.25,1.95,2.25,2.05,2.30,2.25,2.75,2.45,2.55,2.50,2.55,2.50,2.55,2.45,2.55,2.15,2.55,2.15,2.55,2.25,2.50,2.10,2.50
2557,1.98,2.25,2.00,2.35,2.25,2.45,2.30,2.45,2.25,2.40,2.18,2.30,2.10,2.20,2.10,2.30,2.20,2.40,2.25,2.45,2.35,2.55,2.25,2.55
2558,2.10,2.40,2.15,2.35,2.20,2.35,2.20,2.40,2.30,2.45,2.35,2.40,2.35,2.40,2.40,2.50,2.45,2.50,2.30,2.50,2.30,2.40,2.15,2.35
2559,2.05,2.15,2.00,2.05,2.00,2.20,2.15,2.20,2.10,2.20,2.00,2.15,2.00,2.05,1.75,2.00,1.50,1.80,1.45,1.70,1.55,1.85,1.60,1.90
2560,1.60,1.80,1.60,1.75,1.60,1.75,1.55,1.75,1.55,1.70,1.55,1.75,1.60,1.75,1.60,1.80,1.65,1.95,1.80,2.00,1.85,2.25,2.05,2.25
2561,2.05,2.45,2.25,2.70,2.40,2.95,2.80,3.15,2.85,3.20,2.75,3.05,2.75,2.95,2.75,2.95,2.75,2.95,2.75,3.00,2.75,3.00,2.55,2.90
2562,2.30,2.75,2.30,2.55,2.30,2.50,2.25,2.50,2.10,2.45,2.10,2.30,2.10,2.30,2.10,2.30,2.10,2.30,2.10,2.35,2.15,2.40,2.15,2.40
2563,2.15,2.35,2.10,2.35,2.05,2.35,2.05,2.30,2.00,2.25,2.00,2.20,2.00,2.25,2.05,2.25,2.05,2.25,2.00,2.25,2.00,2.30,2.10,2.40
2564,2.00,2.30,2.10,2.35,2.15,2.40,2.20,2.50,2.30,2.50,2.30,2.50,2.30,2.50,2.30,2.70,2.40,2.70,2.40,2.75,2.50,2.75,2.35,2.75
2565,2.45,2.60,2.40,2.60,2.40,3.05,2.65,3.10,2.70,3.35,2.80,3.45,2.85,3.45,2.85,3.45,2.85,3.45,2.85,3.40,2.85,3.30,2.80,3.30
2566,2.80,3.35,3.00,3.45,3.10,3.80,3.25,3.90,3.35,3.90,3.15,3.80,3.10,3.55,3.10,3.55,3.15,3.65,3.25,3.65,3.25,3.95,3.40,3.95
2567,3.40,3.90,3.40,3.90,3.20,3.90,3.00,3.60,2.95,3.40,2.90,3.35,2.75,3.25,2.75,3.15,2.55,3.15,2.40,2.95,2.35,2.80,2.10,2.70
