year,1,2,3,4,5,6,7,8,9,10,11,12
2547,10.85,10.85,10.85,10.49,10.32,9.75,10.88,12.00,11.94,10.95,12.46,15.25
2548,10.85,10.85,10.85,10.49,10.32,9.75,10.88,12.00,11.94,10.95,12.46,15.25
2549,10.85,10.85,10.85,10.49,10.32,9.75,10.88,12.00,11.94,10.95,12.46,15.25
2550,10.85,10.85,10.85,10.49,10.32,9.75,10.88,12.00,11.94,10.95,12.46,15.25
2551,16.15,16.49,16.82,17.61,17.14,17.30,17.45,17.61,17.76,15.87,16.00,15.83
2552,14.77,14.77,14.77,15.01,14.67,14.00,14.05,14.10,13.85,12.69,15.00,15.22
2553,15.00,14.33,13.65,14.06,14.18,14.30,14.42,14.54,14.66,14.78,14.90,14.51
2554,14.35,15.53,15.52,15.44,13.76,13.82,13.88,13.94,14.00,14.37,15.96,15.60
2555,14.85,14.53,14.21,15.50,17.28,17.32,17.37,17.41,17.46,17.50,19.85,18.35
2556,18.03,18.03,18.03,18.61,19.60,19.29,18.98,18.66,18.35,18.35,17.52,17.85
2557,19.36,18.76,18.16,19.27,20.00,19.12,18.23,17.35,17.35,16.31,15.26,13.85
2558,15.52,15.52,15.52,15.62,15.25,15.29,15.33,15.37,15.41,15.41,15.41,15.41
2559,15.00,15.00,15.00,14.50,14.02,14.22,14.20,14.19,14.17,13.20,14.00,14.00
2560,16.45,16.45,16.45,16.78,16.95,14.93,12.90,13.45,13.17,12.52,15.75,16.24
2561,16.39,16.75,15.94,17.06,17.23,16.60,16.20,15.80,15.40,15.00,16.54,19.16
2562,16.16,16.96,15.89,17.44,16.53,15.62,14.71,13.80,13.80,14.30,15.20,17.35
2563,17.11,15.80,16.34,16.95,17.90,17.54,17.19,16.83,16.92,17.00,17.00,17.63
2564,17.00,17.02,17.17,17.73,18.03,17.62,17.20,16.79,16.38,15.96,15.55,15.50
2565,19.85,19.85,19.85,17.61,20.50,20.07,19.63,19.20,18.76,18.33,19.00,20.75
2566,24.06,26.12,26.45,22.12,21.53,21.50,21.50,23.94,23.38,22.19,16.37,16.75
2567,19.45,19.45,19.45,21.67,19.78,17.50,17.38,17.25,17.13,17.00,17.00,17.10
