year,1,2,3,4,5,6,7,8,9,10,11,12
2004,4.88,4.68,5.4,7.4,7.12,7.15,6.05,4.91,4.58,4.74,5.07,5.38
2005,5.44,5.5,5.49,5.48,5.45,5.44,5.56,5.47,5.39,5.53,5.55,5.4
2006,5.33,5.38,5.49,6.19,6.41,6.47,6.34,5.92,5.93,6.34,6.39,7.07
2007,7.46,8.06,8.03,7.81,7.42,7.36,7.31,7.14,7.84,8.38,8.21,8.23
2008,8.36,8.4,8.97,9.36,9.23,9.47,10.67,10.05,8.95,7.99,7.91,6.97
2009,7.34,7.46,7.58,7.55,7.18,7.22,6.33,6.19,6.12,6.24,7.04,7.78
2010,8.05,8.3,8.77,9.08,9.17,9.44,9.34,8.88,9.08,9.03,9.07,9.03
2011,9.28,9.46,9.86,10.41,10.2,9.51,8.81,9.02,9.05,9.19,9.67,9.82
2012,9.98,10.07,10.2,10.43,10.17,10.5,10.72,11.49,10.45,10.13,10.49,10.22
2013,10.2,10.21,10.19,10.23,9.94,10.2,9.77,9.21,8.56,8.08,7.95,7.37
2014,7.54,8.44,8.73,9.23,9.34,10.06,10.31,9.79,8.77,8.28,9.09,9.26
2015,9.46,9.38,9.38,9.52,9.42,9.96,10.62,10.21,9.24,8.6,8.65,8.41
2016,8.86,8.63,8.28,8.34,8.52,9.42,9.16,8.57,8.03,8.03,8.03,8.03
2017,8.03,8.03,8.01,7.96,7.94,8.17,8.39,8.28,8.01,7.94,8.18,9.12
2018,9.59,9.71,10.29,10.51,10.39,10.4,9.34,8.58,8.65,9.62,10.1,10.02
2019,9.89,9.49,9.09,8.92,8.8,8.99,8.96,9.11,9.01,8.83,8.96,8.7
2020,8.56,8.48,8.47,8.74,8.7,9.11,8.91,9.09,9.31,9.06,8.99,8.99
2021,9.11,9.4,9.27,9.22,9.37,9.82,10.28,10.1,11.02,10.82,10.56,10.45
2022,10.75,10.99,12.61,12.8,13.12,12.95,12.23,11.94,11.72,12.23,12.38,13.02
2023,13.37,13.53,12.67,12.88,12.75,12.6,11.62,11.67,11.17,10.76,9.87,10.24
2024,10.28,10.32,10.27,10.14,10.74,12.14,12.45,12.08,10.81,9.86,9.77,10.62
