year,1,2,3,4,5,6,7,8,9,10,11,12
2004,10.85,10.85,10.85,10.49,10.32,9.75,10.88,12.0,11.94,10.95,12.46,15.25
2005,10.85,10.85,10.85,10.49,10.32,9.75,10.88,12.0,11.94,10.95,12.46,15.25
2006,10.85,10.85,10.85,10.49,10.32,9.75,10.88,12.0,11.94,10.95,12.46,15.25
2007,10.85,10.85,10.85,10.49,10.32,9.75,10.88,12.0,11.94,10.95,12.46,15.25
2008,16.15,16.49,16.82,17.61,17.14,17.3,17.45,17.61,17.76,15.87,16.0,15.83
2009,14.77,14.77,14.77,15.01,14.67,14.0,14.05,14.1,13.85,12.69,15.0,15.22
2010,15.0,14.33,13.65,14.06,14.18,14.3,14.42,14.54,14.66,14.78,14.9,14.51
2011,14.35,15.53,15.52,15.44,13.76,13.82,13.88,13.94,14.0,14.37,15.96,15.6
2012,14.85,14.53,14.21,15.5,17.28,17.32,17.37,17.41,17.46,17.5,19.85,18.35
2013,18.03,18.03,18.03,18.61,19.6,19.29,18.98,18.66,18.35,18.35,17.52,17.85
2014,19.36,18.76,18.16,19.27,20.0,19.12,18.23,17.35,17.35,16.31,15.26,13.85
2015,15.52,15.52,15.52,15.62,15.25,15.29,15.33,15.37,15.41,15.41,15.41,15.41
2016,15.0,15.0,15.0,14.5,14.02,14.22,14.2,14.19,14.17,13.2,14.0,14.0
2017,16.45,16.45,16.45,16.78,16.95,14.93,12.9,13.45,13.17,12.52,15.75,16.24
2018,16.39,16.75,15.94,17.06,17.23,16.6,16.2,15.8,15.4,15.0,16.54,19.16
2019,16.16,16.96,15.89,17.44,16.53,15.62,14.71,13.8,13.8,14.3,15.2,17.35
2020,17.11,15.8,16.34,16.95,17.9,17.54,17.19,16.83,16.92,17.0,17.0,17.63
2021,17.0,17.02,17.17,17.73,18.03,17.62,17.2,16.79,16.38,15.96,15.55,15.5
2022,19.85,19.85,19.85,17.61,20.5,20.07,19.63,19.2,18.76,18.33,19.0,20.75
2023,24.06,26.12,26.45,22.12,21.53,21.5,21.5,23.94,23.38,22.19,16.37,16.75
2024,19.45,19.45,19.45,21.67,19.78,17.5,17.38,17.25,17.13,17.0,17.0,17.1
