date,price
2004-01-01,0.99
2004-02-01,0.95
2004-03-01,0.96
2004-04-01,1.04
2004-05-01,1.13
2004-06-01,1.18
2004-07-01,1.21
2004-08-01,1.21
2004-09-01,1.17
2004-10-01,1.11
2004-11-01,1.19
2004-12-01,1.3
2005-01-01,1.46
2005-02-01,1.52
2005-03-01,1.59
2005-04-01,1.61
2005-05-01,1.68
2005-06-01,1.68
2005-07-01,1.65
2005-08-01,1.55
2005-09-01,1.45
2005-10-01,1.42
2005-11-01,1.57
2005-12-01,1.62
2006-01-01,1.43
2006-02-01,1.42
2006-03-01,1.32
2006-04-01,1.27
2006-05-01,1.19
2006-06-01,1.17
2006-07-01,1.12
2006-08-01,1.07
2006-09-01,1.06
2006-10-01,1.06
2006-11-01,1.16
2006-12-01,1.19
2007-01-01,1.18
2007-02-01,1.21
2007-03-01,1.28
2007-04-01,1.34
2007-05-01,1.46
2007-06-01,1.59
2007-07-01,1.69
2007-08-01,1.75
2007-09-01,1.85
2007-10-01,1.86
2007-11-01,1.81
2007-12-01,1.9
2008-01-01,2.06
2008-02-01,2.2
2008-03-01,2.33
2008-04-01,2.33
2008-05-01,2.19
2008-06-01,1.98
2008-07-01,1.96
2008-08-01,1.87
2008-09-01,1.61
2008-10-01,1.46
2008-11-01,1.41
2008-12-01,1.38
2009-01-01,1.21
2009-02-01,1.19
2009-03-01,1.17
2009-04-01,1.22
2009-05-01,1.3
2009-06-01,1.36
2009-07-01,1.45
2009-08-01,1.39
2009-09-01,1.42
2009-10-01,1.52
2009-11-01,1.75
2009-12-01,1.94
2010-01-01,1.98
2010-02-01,1.95
2010-03-01,2.31
2010-04-01,2.6
2010-05-01,2.71
2010-06-01,2.95
2010-07-01,3.33
2010-08-01,3.38
2010-09-01,3.11
2010-10-01,2.98
2010-11-01,3.13
2010-12-01,3.22
2011-01-01,3.14
2011-02-01,3.26
2011-03-01,3.28
2011-04-01,3.18
2011-05-01,2.95
2011-06-01,2.7
2011-07-01,2.58
2011-08-01,2.4
2011-09-01,2.24
2011-10-01,2.26
2011-11-01,2.73
2011-12-01,2.64
2012-01-01,2.37
2012-02-01,2.3
2012-03-01,2.3
2012-04-01,2.32
2012-05-01,2.36
2012-06-01,2.52
2012-07-01,2.42
2012-08-01,2.4
2012-09-01,2.4
2012-10-01,2.42
2012-11-01,2.48
2012-12-01,2.28
2013-01-01,2.17
2013-02-01,2.14
2013-03-01,2.16
2013-04-01,2.48
2013-05-01,2.51
2013-06-01,2.52
2013-07-01,2.52
2013-08-01,2.51
2013-09-01,2.47
2013-10-01,2.37
2013-11-01,2.38
2013-12-01,2.27
2014-01-01,2.13
2014-02-01,2.25
2014-03-01,2.35
2014-04-01,2.38
2014-05-01,2.29
2014-06-01,2.25
2014-07-01,2.15
2014-08-01,2.16
2014-09-01,2.27
2014-10-01,2.34
2014-11-01,2.45
2014-12-01,2.37
2015-01-01,2.26
2015-02-01,2.24
2015-03-01,2.24
2015-04-01,2.3
2015-05-01,2.39
2015-06-01,2.38
2015-07-01,2.38
2015-08-01,2.46
2015-09-01,2.48
2015-10-01,2.45
2015-11-01,2.35
2015-12-01,2.24
2016-01-01,2.1
2016-02-01,2.02
2016-03-01,2.06
2016-04-01,2.18
2016-05-01,2.17
2016-06-01,2.07
2016-07-01,2.02
2016-08-01,1.89
2016-09-01,1.64
2016-10-01,1.58
2016-11-01,1.72
2016-12-01,1.74
2017-01-01,1.69
2017-02-01,1.68
2017-03-01,1.68
2017-04-01,1.67
2017-05-01,1.62
2017-06-01,1.65
2017-07-01,1.68
2017-08-01,1.68
2017-09-01,1.81
2017-10-01,1.89
2017-11-01,2.02
2017-12-01,2.14
2018-01-01,2.24
2018-02-01,2.4
2018-03-01,2.72
2018-04-01,2.94
2018-05-01,3.04
2018-06-01,2.92
2018-07-01,2.85
2018-08-01,2.85
2018-09-01,2.85
2018-10-01,2.88
2018-11-01,2.85
2018-12-01,2.7
2019-01-01,2.53
2019-02-01,2.42
2019-03-01,2.4
2019-04-01,2.39
2019-05-01,2.29
2019-06-01,2.2
2019-07-01,2.2
2019-08-01,2.2
2019-09-01,2.2
2019-10-01,2.24
2019-11-01,2.29
2019-12-01,2.26
2020-01-01,2.25
2020-02-01,2.24
2020-03-01,2.21
2020-04-01,2.17
2020-05-01,2.11
2020-06-01,2.1
2020-07-01,2.11
2020-08-01,2.15
2020-09-01,2.15
2020-10-01,2.13
2020-11-01,2.15
2020-12-01,2.23
2021-01-01,2.16
2021-02-01,2.22
2021-03-01,2.25
2021-04-01,2.38
2021-05-01,2.4
2021-06-01,2.4
2021-07-01,2.4
2021-08-01,2.44
2021-09-01,2.55
2021-10-01,2.57
2021-11-01,2.64
2021-12-01,2.53
2022-01-01,2.53
2022-02-01,2.54
2022-03-01,2.67
2022-04-01,2.86
2022-05-01,3.03
2022-06-01,3.1
2022-07-01,3.15
2022-08-01,3.15
2022-09-01,3.13
2022-10-01,3.1
2022-11-01,3.08
2022-12-01,3.04
2023-01-01,3.1
2023-02-01,3.25
2023-03-01,3.42
2023-04-01,3.59
2023-05-01,3.63
2023-06-01,3.46
2023-07-01,3.3
2023-08-01,3.31
2023-09-01,3.4
2023-10-01,3.45
2023-11-01,3.63
2023-12-01,3.67
2024-01-01,3.65
2024-02-01,3.65
2024-03-01,3.57
2024-04-01,3.24
2024-05-01,3.19
2024-06-01,3.09
2024-07-01,3.06
2024-08-01,2.95
2024-09-01,2.86
2024-10-01,2.65
2024-11-01,2.6
2024-12-01,2.32
