date,price
2004-01-01,4.88
2004-02-01,4.68
2004-03-01,5.4
2004-04-01,7.4
2004-05-01,7.12
2004-06-01,7.15
2004-07-01,6.05
2004-08-01,4.91
2004-09-01,4.58
2004-10-01,4.74
2004-11-01,5.07
2004-12-01,5.38
2005-01-01,5.44
2005-02-01,5.5
2005-03-01,5.49
2005-04-01,5.48
2005-05-01,5.45
2005-06-01,5.44
2005-07-01,5.56
2005-08-01,5.47
2005-09-01,5.39
2005-10-01,5.53
2005-11-01,5.55
2005-12-01,5.4
2006-01-01,5.33
2006-02-01,5.38
2006-03-01,5.49
2006-04-01,6.19
2006-05-01,6.41
2006-06-01,6.47
2006-07-01,6.34
2006-08-01,5.92
2006-09-01,5.93
2006-10-01,6.34
2006-11-01,6.39
2006-12-01,7.07
2007-01-01,7.46
2007-02-01,8.06
2007-03-01,8.03
2007-04-01,7.81
2007-05-01,7.42
2007-06-01,7.36
2007-07-01,7.31
2007-08-01,7.14
2007-09-01,7.84
2007-10-01,8.38
2007-11-01,8.21
2007-12-01,8.23
2008-01-01,8.36
2008-02-01,8.4
2008-03-01,8.97
2008-04-01,9.36
2008-05-01,9.23
2008-06-01,9.47
2008-07-01,10.67
2008-08-01,10.05
2008-09-01,8.95
2008-10-01,7.99
2008-11-01,7.91
2008-12-01,6.97
2009-01-01,7.34
2009-02-01,7.46
2009-03-01,7.58
2009-04-01,7.55
2009-05-01,7.18
2009-06-01,7.22
2009-07-01,6.33
2009-08-01,6.19
2009-09-01,6.12
2009-10-01,6.24
2009-11-01,7.04
2009-12-01,7.78
2010-01-01,8.05
2010-02-01,8.3
2010-03-01,8.77
2010-04-01,9.08
2010-05-01,9.17
2010-06-01,9.44
2010-07-01,9.34
2010-08-01,8.88
2010-09-01,9.08
2010-10-01,9.03
2010-11-01,9.07
2010-12-01,9.03
2011-01-01,9.28
2011-02-01,9.46
2011-03-01,9.86
2011-04-01,10.41
2011-05-01,10.2
2011-06-01,9.51
2011-07-01,8.81
2011-08-01,9.02
2011-09-01,9.05
2011-10-01,9.19
2011-11-01,9.67
2011-12-01,9.82
2012-01-01,9.98
2012-02-01,10.07
2012-03-01,10.2
2012-04-01,10.43
2012-05-01,10.17
2012-06-01,10.5
2012-07-01,10.72
2012-08-01,11.49
2012-09-01,10.45
2012-10-01,10.13
2012-11-01,10.49
2012-12-01,10.22
2013-01-01,10.2
2013-02-01,10.21
2013-03-01,10.19
2013-04-01,10.23
2013-05-01,9.94
2013-06-01,10.2
2013-07-01,9.77
2013-08-01,9.21
2013-09-01,8.56
2013-10-01,8.08
2013-11-01,7.95
2013-12-01,7.37
2014-01-01,7.54
2014-02-01,8.44
2014-03-01,8.73
2014-04-01,9.23
2014-05-01,9.34
2014-06-01,10.06
2014-07-01,10.31
2014-08-01,9.79
2014-09-01,8.77
2014-10-01,8.28
2014-11-01,9.09
2014-12-01,9.26
2015-01-01,9.46
2015-02-01,9.38
2015-03-01,9.38
2015-04-01,9.52
2015-05-01,9.42
2015-06-01,9.96
2015-07-01,10.62
2015-08-01,10.21
2015-09-01,9.24
2015-10-01,8.6
2015-11-01,8.65
2015-12-01,8.41
2016-01-01,8.86
2016-02-01,8.63
2016-03-01,8.28
2016-04-01,8.34
2016-05-01,8.52
2016-06-01,9.42
2016-07-01,9.16
2016-08-01,8.57
2016-09-01,8.03
2016-10-01,8.03
2016-11-01,8.03
2016-12-01,8.03
2017-01-01,8.03
2017-02-01,8.03
2017-03-01,8.01
2017-04-01,7.96
2017-05-01,7.94
2017-06-01,8.17
2017-07-01,8.39
2017-08-01,8.28
2017-09-01,8.01
2017-10-01,7.94
2017-11-01,8.18
2017-12-01,9.12
2018-01-01,9.59
2018-02-01,9.71
2018-03-01,10.29
2018-04-01,10.51
2018-05-01,10.39
2018-06-01,10.4
2018-07-01,9.34
2018-08-01,8.58
2018-09-01,8.65
2018-10-01,9.62
2018-11-01,10.1
2018-12-01,10.02
2019-01-01,9.89
2019-02-01,9.49
2019-03-01,9.09
2019-04-01,8.92
2019-05-01,8.8
2019-06-01,8.99
2019-07-01,8.96
2019-08-01,9.11
2019-09-01,9.01
2019-10-01,8.83
2019-11-01,8.96
2019-12-01,8.7
2020-01-01,8.56
2020-02-01,8.48
2020-03-01,8.47
2020-04-01,8.74
2020-05-01,8.7
2020-06-01,9.11
2020-07-01,8.91
2020-08-01,9.09
2020-09-01,9.31
2020-10-01,9.06
2020-11-01,8.99
2020-12-01,8.99
2021-01-01,9.11
2021-02-01,9.4
2021-03-01,9.27
2021-04-01,9.22
2021-05-01,9.37
2021-06-01,9.82
2021-07-01,10.28
2021-08-01,10.1
2021-09-01,11.02
2021-10-01,10.82
2021-11-01,10.56
2021-12-01,10.45
2022-01-01,10.75
2022-02-01,10.99
2022-03-01,12.61
2022-04-01,12.8
2022-05-01,13.12
2022-06-01,12.95
2022-07-01,12.23
2022-08-01,11.94
2022-09-01,11.72
2022-10-01,12.23
2022-11-01,12.38
2022-12-01,13.02
2023-01-01,13.37
2023-02-01,13.53
2023-03-01,12.67
2023-04-01,12.88
2023-05-01,12.75
2023-06-01,12.6
2023-07-01,11.62
2023-08-01,11.67
2023-09-01,11.17
2023-10-01,10.76
2023-11-01,9.87
2023-12-01,10.24
2024-01-01,10.28
2024-02-01,10.32
2024-03-01,10.27
2024-04-01,10.14
2024-05-01,10.74
2024-06-01,12.14
2024-07-01,12.45
2024-08-01,12.08
2024-09-01,10.81
2024-10-01,9.86
2024-11-01,9.77
2024-12-01,10.62
