date,price
2004-01-01,18.37
2004-02-01,16.46
2004-03-01,21.63
2004-04-01,22.65
2004-05-01,21.5
2004-06-01,20.62
2004-07-01,21.87
2004-08-01,22.08
2004-09-01,16.25
2004-10-01,17.48
2004-11-01,19.16
2004-12-01,19.46
2005-01-01,18.37
2005-02-01,16.46
2005-03-01,21.63
2005-04-01,22.65
2005-05-01,21.5
2005-06-01,20.62
2005-07-01,21.87
2005-08-01,22.08
2005-09-01,16.25
2005-10-01,17.48
2005-11-01,19.16
2005-12-01,19.46
2006-01-01,18.37
2006-02-01,16.46
2006-03-01,21.63
2006-04-01,22.65
2006-05-01,21.5
2006-06-01,20.62
2006-07-01,21.87
2006-08-01,22.08
2006-09-01,16.25
2006-10-01,17.48
2006-11-01,19.16
2006-12-01,19.46
2007-01-01,18.37
2007-02-01,16.46
2007-03-01,21.63
2007-04-01,22.65
2007-05-01,21.5
2007-06-01,20.62
2007-07-01,21.87
2007-08-01,22.08
2007-09-01,16.25
2007-10-01,17.48
2007-11-01,19.16
2007-12-01,19.46
2008-01-01,19.46
2008-02-01,19.26
2008-03-01,19.69
2008-04-01,19.87
2008-05-01,20.0
2008-06-01,17.6
2008-07-01,19.05
2008-08-01,16.97
2008-09-01,16.12
2008-10-01,15.98
2008-11-01,15.86
2008-12-01,13.17
2009-01-01,12.92
2009-02-01,12.0
2009-03-01,15.39
2009-04-01,17.37
2009-05-01,17.0
2009-06-01,21.9
2009-07-01,19.54
2009-08-01,26.72
2009-09-01,17.88
2009-10-01,19.6
2009-11-01,32.0
2009-12-01,31.96
2010-01-01,27.15
2010-02-01,30.37
2010-03-01,36.38
2010-04-01,40.74
2010-05-01,38.45
2010-06-01,22.33
2010-07-01,23.75
2010-08-01,41.1
2010-09-01,27.71
2010-10-01,38.0
2010-11-01,33.95
2010-12-01,31.29
2011-01-01,32.71
2011-02-01,26.77
2011-03-01,31.34
2011-04-01,31.04
2011-05-01,31.03
2011-06-01,30.0
2011-07-01,23.84
2011-08-01,23.75
2011-09-01,21.48
2011-10-01,20.37
2011-11-01,25.21
2011-12-01,23.51
2012-01-01,21.93
2012-02-01,23.37
2012-03-01,25.25
2012-04-01,18.54
2012-05-01,19.54
2012-06-01,20.59
2012-07-01,19.2
2012-08-01,19.68
2012-09-01,20.0
2012-10-01,20.55
2012-11-01,22.02
2012-12-01,17.65
2013-01-01,18.82
2013-02-01,20.2
2013-03-01,21.14
2013-04-01,29.72
2013-05-01,28.54
2013-06-01,25.35
2013-07-01,23.75
2013-08-01,23.75
2013-09-01,18.85
2013-10-01,18.56
2013-11-01,25.6
2013-12-01,32.56
2014-01-01,33.45
2014-02-01,32.15
2014-03-01,34.3
2014-04-01,32.52
2014-05-01,31.25
2014-06-01,31.0
2014-07-01,30.33
2014-08-01,29.4
2014-09-01,33.2
2014-10-01,34.37
2014-11-01,31.4
2014-12-01,34.1
2015-01-01,34.0
2015-02-01,33.54
2015-03-01,32.89
2015-04-01,31.7
2015-05-01,32.56
2015-06-01,33.8
2015-07-01,36.88
2015-08-01,36.88
2015-09-01,34.32
2015-10-01,33.36
2015-11-01,30.86
2015-12-01,30.0
2016-01-01,32.39
2016-02-01,37.91
2016-03-01,26.31
2016-04-01,28.04
2016-05-01,38.0
2016-06-01,30.52
2016-07-01,23.97
2016-08-01,28.14
2016-09-01,28.76
2016-10-01,25.43
2016-11-01,26.18
2016-12-01,23.81
2017-01-01,22.04
2017-02-01,22.51
2017-03-01,21.46
2017-04-01,22.41
2017-05-01,27.76
2017-06-01,24.87
2017-07-01,25.96
2017-08-01,37.61
2017-09-01,29.07
2017-10-01,28.51
2017-11-01,18.83
2017-12-01,17.81
2018-01-01,16.24
2018-02-01,18.62
2018-03-01,21.37
2018-04-01,24.73
2018-05-01,26.84
2018-06-01,25.15
2018-07-01,20.96
2018-08-01,17.03
2018-09-01,22.0
2018-10-01,21.78
2018-11-01,22.12
2018-12-01,21.26
2019-01-01,21.34
2019-02-01,22.93
2019-03-01,24.21
2019-04-01,23.57
2019-05-01,18.66
2019-06-01,19.33
2019-07-01,18.71
2019-08-01,21.73
2019-09-01,21.87
2019-10-01,21.66
2019-11-01,21.47
2019-12-01,25.0
2020-01-01,24.16
2020-02-01,25.99
2020-03-01,25.31
2020-04-01,24.23
2020-05-01,25.45
2020-06-01,21.62
2020-07-01,24.31
2020-08-01,24.65
2020-09-01,21.27
2020-10-01,20.21
2020-11-01,21.21
2020-12-01,26.27
2021-01-01,25.29
2021-02-01,28.92
2021-03-01,29.27
2021-04-01,25.82
2021-05-01,22.17
2021-06-01,21.79
2021-07-01,22.65
2021-08-01,24.38
2021-09-01,27.36
2021-10-01,27.85
2021-11-01,20.17
2021-12-01,22.56
2022-01-01,23.74
2022-02-01,23.37
2022-03-01,21.86
2022-04-01,22.16
2022-05-01,24.35
2022-06-01,25.24
2022-07-01,19.63
2022-08-01,21.2
2022-09-01,23.51
2022-10-01,29.6
2022-11-01,32.9
2022-12-01,31.81
2023-01-01,33.8
2023-02-01,32.22
2023-03-01,27.8
2023-04-01,28.85
2023-05-01,28.5
2023-06-01,27.28
2023-07-01,26.5
2023-08-01,24.42
2023-09-01,25.0
2023-10-01,24.75
2023-11-01,25.95
2023-12-01,23.43
2024-01-01,25.11
2024-02-01,25.0
2024-03-01,26.34
2024-04-01,25.62
2024-05-01,25.0
2024-06-01,25.0
2024-07-01,25.0
2024-08-01,27.5
2024-09-01,31.0
2024-10-01,30.0
2024-11-01,24.0
2024-12-01,23.28
