date,price
2004-01-01,10.85
2004-02-01,10.85
2004-03-01,10.85
2004-04-01,10.49
2004-05-01,10.32
2004-06-01,9.75
2004-07-01,10.88
2004-08-01,12.0
2004-09-01,11.94
2004-10-01,10.95
2004-11-01,12.46
2004-12-01,15.25
2005-01-01,10.85
2005-02-01,10.85
2005-03-01,10.85
2005-04-01,10.49
2005-05-01,10.32
2005-06-01,9.75
2005-07-01,10.88
2005-08-01,12.0
2005-09-01,11.94
2005-10-01,10.95
2005-11-01,12.46
2005-12-01,15.25
2006-01-01,10.85
2006-02-01,10.85
2006-03-01,10.85
2006-04-01,10.49
2006-05-01,10.32
2006-06-01,9.75
2006-07-01,10.88
2006-08-01,12.0
2006-09-01,11.94
2006-10-01,10.95
2006-11-01,12.46
2006-12-01,15.25
2007-01-01,10.85
2007-02-01,10.85
2007-03-01,10.85
2007-04-01,10.49
2007-05-01,10.32
2007-06-01,9.75
2007-07-01,10.88
2007-08-01,12.0
2007-09-01,11.94
2007-10-01,10.95
2007-11-01,12.46
2007-12-01,15.25
2008-01-01,16.15
2008-02-01,16.49
2008-03-01,16.82
2008-04-01,17.61
2008-05-01,17.14
2008-06-01,17.3
2008-07-01,17.45
2008-08-01,17.61
2008-09-01,17.76
2008-10-01,15.87
2008-11-01,16.0
2008-12-01,15.83
2009-01-01,14.77
2009-02-01,14.77
2009-03-01,14.77
2009-04-01,15.01
2009-05-01,14.67
2009-06-01,14.0
2009-07-01,14.05
2009-08-01,14.1
2009-09-01,13.85
2009-10-01,12.69
2009-11-01,15.0
2009-12-01,15.22
2010-01-01,15.0
2010-02-01,14.33
2010-03-01,13.65
2010-04-01,14.06
2010-05-01,14.18
2010-06-01,14.3
2010-07-01,14.42
2010-08-01,14.54
2010-09-01,14.66
2010-10-01,14.78
2010-11-01,14.9
2010-12-01,14.51
2011-01-01,14.35
2011-02-01,15.53
2011-03-01,15.52
2011-04-01,15.44
2011-05-01,13.76
2011-06-01,13.82
2011-07-01,13.88
2011-08-01,13.94
2011-09-01,14.0
2011-10-01,14.37
2011-11-01,15.96
2011-12-01,15.6
2012-01-01,14.85
2012-02-01,14.53
2012-03-01,14.21
2012-04-01,15.5
2012-05-01,17.28
2012-06-01,17.32
2012-07-01,17.37
2012-08-01,17.41
2012-09-01,17.46
2012-10-01,17.5
2012-11-01,19.85
2012-12-01,18.35
2013-01-01,18.03
2013-02-01,18.03
2013-03-01,18.03
2013-04-01,18.61
2013-05-01,19.6
2013-06-01,19.29
2013-07-01,18.98
2013-08-01,18.66
2013-09-01,18.35
2013-10-01,18.35
2013-11-01,17.52
2013-12-01,17.85
2014-01-01,19.36
2014-02-01,18.76
2014-03-01,18.16
2014-04-01,19.27
2014-05-01,20.0
2014-06-01,19.12
2014-07-01,18.23
2014-08-01,17.35
2014-09-01,17.35
2014-10-01,16.31
2014-11-01,15.26
2014-12-01,13.85
2015-01-01,15.52
2015-02-01,15.52
2015-03-01,15.52
2015-04-01,15.62
2015-05-01,15.25
2015-06-01,15.29
2015-07-01,15.33
2015-08-01,15.37
2015-09-01,15.41
2015-10-01,15.41
2015-11-01,15.41
2015-12-01,15.41
2016-01-01,15.0
2016-02-01,15.0
2016-03-01,15.0
2016-04-01,14.5
2016-05-01,14.02
2016-06-01,14.22
2016-07-01,14.2
2016-08-01,14.19
2016-09-01,14.17
2016-10-01,13.2
2016-11-01,14.0
2016-12-01,14.0
2017-01-01,16.45
2017-02-01,16.45
2017-03-01,16.45
2017-04-01,16.78
2017-05-01,16.95
2017-06-01,14.93
2017-07-01,12.9
2017-08-01,13.45
2017-09-01,13.17
2017-10-01,12.52
2017-11-01,15.75
2017-12-01,16.24
2018-01-01,16.39
2018-02-01,16.75
2018-03-01,15.94
2018-04-01,17.06
2018-05-01,17.23
2018-06-01,16.6
2018-07-01,16.2
2018-08-01,15.8
2018-09-01,15.4
2018-10-01,15.0
2018-11-01,16.54
2018-12-01,19.16
2019-01-01,16.16
2019-02-01,16.96
2019-03-01,15.89
2019-04-01,17.44
2019-05-01,16.53
2019-06-01,15.62
2019-07-01,14.71
2019-08-01,13.8
2019-09-01,13.8
2019-10-01,14.3
2019-11-01,15.2
2019-12-01,17.35
2020-01-01,17.11
2020-02-01,15.8
2020-03-01,16.34
2020-04-01,16.95
2020-05-01,17.9
2020-06-01,17.54
2020-07-01,17.19
2020-08-01,16.83
2020-09-01,16.92
2020-10-01,17.0
2020-11-01,17.0
2020-12-01,17.63
2021-01-01,17.0
2021-02-01,17.02
2021-03-01,17.17
2021-04-01,17.73
2021-05-01,18.03
2021-06-01,17.62
2021-07-01,17.2
2021-08-01,16.79
2021-09-01,16.38
2021-10-01,15.96
2021-11-01,15.55
2021-12-01,15.5
2022-01-01,19.85
2022-02-01,19.85
2022-03-01,19.85
2022-04-01,17.61
2022-05-01,20.5
2022-06-01,20.07
2022-07-01,19.63
2022-08-01,19.2
2022-09-01,18.76
2022-10-01,18.33
2022-11-01,19.0
2022-12-01,20.75
2023-01-01,24.06
2023-02-01,26.12
2023-03-01,26.45
2023-04-01,22.12
2023-05-01,21.53
2023-06-01,21.5
2023-07-01,21.5
2023-08-01,23.94
2023-09-01,23.38
2023-10-01,22.19
2023-11-01,16.37
2023-12-01,16.75
2024-01-01,19.45
2024-02-01,19.45
2024-03-01,19.45
2024-04-01,21.67
2024-05-01,19.78
2024-06-01,17.5
2024-07-01,17.38
2024-08-01,17.25
2024-09-01,17.13
2024-10-01,17.0
2024-11-01,17.0
2024-12-01,17.1
